Nome: GUANHAES
Codigo Estacao: A533
Latitude: -18.78694444
Longitude: -42.94305555
Altitude: 852.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;21;261,2;917,07533;23,515591;8,5;1,476515;
2020-02-29;15;140;918,862431;23,007453;6,2;1,425006;
2020-03-31;19;246,8;919,224538;21,383065;6,4;1,355867;
2020-04-30;18;107,8;920,587639;20,780501;6,9;1,282029;
2020-05-31;11;62,4;921,915574;18,414233;5,2;1,176559;
2020-06-30;14;16,4;923,233068;17,841809;5,5;1,09938;
2020-07-31;14;12,8;923,199673;17,733966;6,5;1,224941;
2020-08-31;8;12,2;923,407648;17,85709;5,8;1,556349;
2020-09-30;2;2;921,744154;21,358701;6,3;1,610327;
2020-10-31;16;186;918,603224;22,07953;7;1,67629;
2020-11-30;24;99;918,595302;21,288919;8,5;1,723484;
2020-12-31;20;16,4;917,937062;22,561892;6,7;1,398784;

