Nome: DORES DO INDAIA
Codigo Estacao: A536
Latitude: -19.481935
Longitude: -45.593932
Altitude: 721.09
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;278,6;930,311962;24,500672;8,1;1,545565;
2020-02-29;21;515,2;932,241523;23,347414;8,9;1,55158;
2020-03-31;14;157,8;932,569624;23,054167;10,7;,956317;
2020-04-30;16;54,4;933,984722;22,409444;6,2;1,050972;
2020-05-31;10;84,2;935,645833;19,197715;6,3;1,011021;
2020-06-30;4;3;936,753194;19,808611;10;1,246389;
2020-07-31;0;0;936,421909;20,490323;7,5;1,526613;
2020-08-31;2;10;936,560215;20,267608;8,8;2,073118;
2020-09-30;3;14,6;934,536944;24,440556;8,7;1,996528;
2020-10-31;17;254,6;931,509409;24,637366;12,4;1,943145;
2020-11-30;15;141,6;931,633056;23,489167;8,6;1,845972;
2020-12-31;21;264,6;931,18172;23,871505;14;1,514247;

