Nome: CURVELO
Codigo Estacao: A538
Latitude: -18.747711
Longitude: -44.453785
Altitude: 669.48
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;312,8;936,775269;25,024597;7,4;1,600806;
2020-02-29;16;180,6;938,591954;24,278161;6,2;1,428879;
2020-03-31;13;207,6;938,814919;23,457527;6,6;1,450269;
2020-04-30;7;59;940,269306;22,705833;6,4;1,32875;
2020-05-31;5;57,4;941,989516;19,211559;5,6;1,116935;
2020-06-30;1;,2;943,130556;19,360556;6,3;1,188056;
2020-07-31;0;0;942,897312;19,805242;7,9;1,447715;
2020-08-31;1;7,8;942,926613;20,247043;7,2;1,882527;
2020-09-30;1;,4;940,839583;24,130278;6,5;1,949722;
2020-10-31;14;165,8;937,775538;24,945833;7,9;2,015188;
2020-11-30;11;132,6;938,024722;23,932639;6,2;1,920694;
2020-12-31;15;119;937,5125;24,407258;6,1;1,475134;

