Nome: MOCAMBINHO
Codigo Estacao: A539
Latitude: -15.085958
Longitude: -44.016036
Altitude: 454
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;271,4;960,363172;25,991263;6,3;,990054;
2020-02-29;null;86,6;961,256178;26,062787;5,7;,577012;
2020-03-31;null;256,4;961,634975;24,525111;4,7;,714715;
2020-04-30;null;44;962,915139;24,321944;3,4;,692917;
2020-05-31;null;16,2;964,569086;22,303763;4;,685349;
2020-06-30;null;0;965,517778;21,636111;3,6;,695278;
2020-07-31;null;0;965,479973;21,499194;4,6;,789113;
2020-08-31;null;0;965,069355;23,090591;5,2;1,109005;
2020-09-30;null;4,4;963,315417;25,446111;5;1,060556;
2020-10-31;null;194,6;960,348925;26,916935;5,5;,99543;
2020-11-30;null;113,8;961,045139;24,377083;6;,839444;
2020-12-31;null;39;960,337634;25,558468;5,4;,740995;

