Nome: MANTENA
Codigo Estacao: A540
Latitude: -18.78062
Longitude: -40.986505
Altitude: 254.91
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;242,6;982,158602;26,082527;4,3;,884946;
2020-02-29;null;122,2;983,811494;26,580029;9;,933046;
2020-03-31;null;184,2;984,43172;24,23965;10,9;,664516;
2020-04-30;null;39,4;986,044722;23,635694;4,5;,634028;
2020-05-31;null;56,6;987,753495;21,793952;4,4;,637634;
2020-06-30;null;24,8;989,27875;21,365417;3;,542778;
2020-07-31;null;null;null;21,166107;4,7;null;
2020-08-31;null;17,8;989,39375;21,438839;4,7;,808482;
2020-09-30;null;15;987,885;24,404306;3,3;1,115417;
2020-10-31;null;106,8;984,151075;24,757392;3,8;,861559;
2020-11-30;null;114,4;984,2325;23,94625;5,2;,755972;
2020-12-31;null;82,4;983,275807;26,158468;5,4;,969893;

