Nome: CAPELINHA
Codigo Estacao: A541
Latitude: -17.70555555
Longitude: -42.38916666
Altitude: 932.06
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;470,8;909,239919;22,480645;8,5;2,068011;
2020-02-29;null;159,2;910,713937;22,285201;5;1,525144;
2020-03-31;null;189;910,961022;20,536828;5,7;1,689919;
2020-04-30;null;62,8;912,337361;19,910139;5;1,537083;
2020-05-31;null;92;913,574194;17,943011;5,4;1,413441;
2020-06-30;null;15,8;914,812083;17,242778;5,4;1,285;
2020-07-31;null;18,6;914,783602;17,012366;5,7;1,461022;
2020-08-31;null;21,6;914,899194;16,808737;5,7;1,8625;
2020-09-30;null;2,4;913,435417;20,267917;5,6;2,006667;
2020-10-31;null;null;null;null;5,2;null;
2020-11-30;null;null;null;null;6,4;null;
2020-12-31;null;null;null;null;4,5;null;

