Nome: UNAI
Codigo Estacao: A542
Latitude: -16.55416666
Longitude: -46.88194443
Altitude: 640.85
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;368,6;939,490591;24,985349;7;1,40793;
2020-02-29;19;168,2;941,034339;24,463937;8;1,168822;
2020-03-31;17;307;941,035963;23,751449;5,9;1,202764;
2020-04-30;16;145,2;942,576667;23,269028;8,5;1,100695;
2020-05-31;7;8;944,236425;20,573297;4,1;1,054378;
2020-06-30;null;0;945,116944;20,345972;4,9;1,160833;
2020-07-31;null;0;944,753854;20,542704;5,2;1,402936;
2020-08-31;null;null;null;22,580208;5,1;null;
2020-09-30;1;1,4;942,598472;25,280695;6,1;1,701806;
2020-10-31;1;,2;939,838575;26,405645;8,5;1,631855;
2020-11-30;0;0;940,240278;24,286806;7,8;1,297917;
2020-12-31;9;168,6;939,844744;24,985428;4,9;1,090939;

