Nome: BURITIS
Codigo Estacao: A544
Latitude: -15.52416666
Longitude: -46.43555555
Altitude: 894
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;17;122,6;909,989651;23,218011;9,4;2,342876;
2020-02-29;19;69,4;911,200287;22,588649;8,2;1,732902;
2020-03-31;20;41;911,035887;22,185618;5,4;2,031452;
2020-04-30;17;10,2;912,424444;22,241806;6,8;2,094722;
2020-05-31;null;null;913,760139;20,230833;4,7;1,901528;
2020-06-30;null;0;914,624722;19,999722;7,2;2,637778;
2020-07-31;0;0;914,442742;19,826075;8,1;2,352016;
2020-08-31;0;0;914,072446;21,133064;6,9;2,931989;
2020-09-30;3;,6;912,747917;24,40875;8,6;2,795417;
2020-10-31;2;,4;910,266263;24,701344;9,6;3,184677;
2020-11-30;0;0;910,361111;22,953472;7,5;2,715139;
2020-12-31;0;0;910,078629;23,330376;7,2;2,196909;

