Nome: PIRAPORA
Codigo Estacao: A545
Latitude: -17.258064
Longitude: -44.835556
Altitude: 505.32
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;276,8;954,583941;25,798276;4,9;1,560712;
2020-02-29;null;199,6;956,109776;25,647514;3,9;1,268378;
2020-03-31;null;180;956,36134;24,727367;3,8;1,398926;
2020-04-30;null;61,2;957,805833;24,265417;4,9;1,314722;
2020-05-31;null;34,4;959,639919;20,971909;4,3;1,153629;
2020-06-30;null;0;960,695139;20,639861;5,1;1,248056;
2020-07-31;null;0;960,453226;21,04207;5,6;1,518952;
2020-08-31;null;0;960,234274;22,403226;5,6;1,853495;
2020-09-30;null;,8;958,048889;25,825417;5,2;1,914583;
2020-10-31;null;111,6;955,009409;26,589919;5,7;1,673925;
2020-11-30;null;203,6;955,571274;25,061674;4,5;1,578986;
2020-12-31;null;155;955,027656;25,679177;4,8;1,310647;

