Nome: ITAOBIM
Codigo Estacao: A550
Latitude: -16.575667
Longitude: -41.485588
Altitude: 271.63
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;136,8;980,92836;28,056452;6,4;1,817339;
2020-02-29;9;139;981,998994;28,20273;8;1,763218;
2020-03-31;18;185,8;982,773387;25,471774;6,9;1,19543;
2020-04-30;6;15,6;984,393056;25,08125;4,2;1,293889;
2020-05-31;9;74,6;986,260081;23,297715;3,8;1,290323;
2020-06-30;2;2,6;987,475532;22,4125;5,1;1,476084;
2020-07-31;10;35,6;987,78871;22,200134;5,7;1,618414;
2020-08-31;8;8;987,924328;23,107796;5,7;2,055645;
2020-09-30;2;3,4;985,821389;26,432222;6,9;2,628472;
2020-10-31;10;57,4;982,215323;27,575134;6,7;2,356048;
2020-11-30;19;108,8;982,663611;24,893472;5,8;1,871944;
2020-12-31;4;18,2;981,625806;27,675;6;2,298118;

