Nome: RIO PARDO DE MINAS
Codigo Estacao: A551
Latitude: -15.72305554
Longitude: -42.43583333
Altitude: 850.06
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;133,6;918,513306;23,368952;6,3;1,783468;
2020-02-29;13;55,4;919,41954;23,743678;7,9;1,498851;
2020-03-31;18;326,4;919,665188;21,960618;6,7;1,586425;
2020-04-30;16;81,6;921,057917;21,315972;5,8;1,574306;
2020-05-31;10;58,8;922,445699;19,667339;4,8;,581989;
2020-06-30;9;5;923,551111;18,209861;5,8;1,00125;
2020-07-31;10;2,8;923,536425;17,980108;6,1;1,304032;
2020-08-31;5;2,6;923,431855;18,885081;5,9;,773925;
2020-09-30;0;0;922,0925;21,639861;6;1,014028;
2020-10-31;9;110,2;919,116935;23,888978;6,5;,548253;
2020-11-30;18;226,2;919,273056;21,402222;6,4;,240556;
2020-12-31;6;47;918,810484;22,742473;5;,148925;

