Nome: IBIRITE (ROLA MOCA)
Codigo Estacao: A555
Latitude: -20.031457
Longitude: -44.011249
Altitude: 1198.82
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;25;803;881,541667;21,681183;10,3;2,74879;
2020-02-29;23;401,2;883,281022;21,144103;8,8;3,164505;
2020-03-31;19;258;883,369758;20,449597;12,5;3,963172;
2020-04-30;11;83,4;884,606292;19,768786;8,9;3,529022;
2020-05-31;6;44,8;885,652272;17,098089;10,3;3,282958;
2020-06-30;2;3,8;886,920997;17,951053;9,7;3,362628;
2020-07-31;2;21,4;886,694898;17,878962;12,1;3,582901;
2020-08-31;2;12,8;886,731279;17,453497;11,4;4,72365;
2020-09-30;4;16,6;885,519565;21,778345;10,2;4,420036;
2020-10-31;13;118,6;882,662366;21,577285;12,8;4,324328;
2020-11-30;12;231,4;882,565054;20,387295;11,3;3,80468;
2020-12-31;20;330,4;882,245652;21,409479;8,3;3,106229;

