Nome: JANUARIA
Codigo Estacao: A559
Latitude: -15.448089
Longitude: -44.366313
Altitude: 468
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;329,4;957,317888;25,661863;7;1,782352;
2020-02-29;14;154,6;958,350781;25,57525;6,2;null;
2020-03-31;17;270;958,680842;24,281335;4,9;1,558241;
2020-04-30;9;15,6;959,98462;24,109022;4,5;1,454692;
2020-05-31;3;6,8;961,655376;21,977151;4,9;1,500538;
2020-06-30;0;0;962,575278;21,598333;5,4;1,653472;
2020-07-31;0;0;962,518145;21,404167;6,2;1,846371;
2020-08-31;0;0;962,095833;23,414247;6,5;2,238307;
2020-09-30;0;0;960,260278;26,147778;6,5;2,330833;
2020-10-31;8;106,2;957,295149;27,53809;7,4;2,247884;
2020-11-30;14;181,6;957,979489;24,659074;5,4;1,854019;
2020-12-31;9;72,6;957,389241;25,144247;6;1,727863;

