Nome: SAO SEBASTIAO DO PARAISO
Codigo Estacao: A561
Latitude: -20.91
Longitude: -47.11416666
Altitude: 845
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;146,4;917,433064;23,012231;6,7;1,590277;
2020-02-29;26;358,2;919,045115;22,295546;6,1;1,638218;
2020-03-31;15;122,4;919,608602;21,923118;5,3;1,602957;
2020-04-30;8;11;921,062639;20,252361;6,4;1,581389;
2020-05-31;10;24,8;922,505645;16,922446;4,7;1,668548;
2020-06-30;5;2;923,345833;18,597917;6,8;1,698889;
2020-07-31;1;,2;923,047581;18,425269;5,9;1,910215;
2020-08-31;2;6,8;923,060753;19,332258;7,3;1,990457;
2020-09-30;2;4,4;921,144306;23,608472;5,5;2,012778;
2020-10-31;11;94,8;918,324462;23,921371;7;2,069489;
2020-11-30;11;109;918,500972;22,889167;6,7;1,935972;
2020-12-31;30;328,6;918,298925;22,286425;7;1,592789;

