Nome: PATOS DE MINAS
Codigo Estacao: A562
Latitude: -18.52055554
Longitude: -46.44055555
Altitude: 950
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;221,2;906,832796;23,440591;7,5;1,757124;
2020-02-29;25;305,4;908,489511;22,461494;6,7;1,899856;
2020-03-31;4;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;1;null;null;null;4,7;null;
2020-06-30;null;null;null;null;4,3;null;
2020-07-31;null;null;null;null;3,8;null;
2020-08-31;2;null;911,243827;20,589815;6,2;1,450617;
2020-09-30;2;1,4;910,382639;24,442917;6,8;1,513472;
2020-10-31;14;201,2;907,570027;24,673118;6,6;1,678898;
2020-11-30;14;135,6;907,727222;22,694444;6;1,623333;
2020-12-31;20;279,6;907,444409;22,927361;6,7;1,582742;

