Nome: BAMBUI
Codigo Estacao: A565
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 697
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;26;318,8;933,852688;24,047446;10,1;1,335192;
2020-02-29;25;452,8;935,752642;23,118809;6,6;1,523501;
2020-03-31;13;65,2;936,238958;22,755779;6,3;1,204102;
2020-04-30;13;87;937,649306;21,454306;6,9;1,192361;
2020-05-31;12;42,8;939,357258;17,244489;4,2;1,041532;
2020-06-30;2;,4;940,435278;17,633889;6,2;1,139722;
2020-07-31;0;0;940,078763;17,798521;6,1;1,157527;
2020-08-31;1;8,8;940,260349;17,662231;5,4;1,234274;
2020-09-30;2;13;938,12375;21,476806;5,2;1,0125;
2020-10-31;13;234,4;935,02043;23,677285;7,5;1,185349;
2020-11-30;16;114,8;935,18434;22,733264;8,1;1,48484;
2020-12-31;22;256,8;934,760629;23,43688;6,1;1,37474;

