Nome: ARACUAI
Codigo Estacao: A566
Latitude: -16.84888888
Longitude: -42.03527777
Altitude: 308
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;314,2;976,321371;26,902823;9,2;1,273387;
2020-02-29;10;42,6;977,551674;27,033521;6,7;,890461;
2020-03-31;21;186,4;978,337977;24,667542;5,4;,57482;
2020-04-30;5;13,8;979,95375;23,890417;5,2;,569167;
2020-05-31;4;null;null;22,034896;3,9;null;
2020-06-30;null;null;null;null;6,7;null;
2020-07-31;null;null;null;null;5,7;null;
2020-08-31;null;null;null;null;6,3;null;
2020-09-30;1;null;980,868885;null;6,3;2,509874;
2020-10-31;null;null;977,383017;null;8,8;2,139319;
2020-11-30;null;null;978,108534;null;5,1;1,353758;
2020-12-31;2;null;977,011651;null;6,4;1,201153;

