Nome: MACHADO
Codigo Estacao: A567
Latitude: -21.680722
Longitude: -45.944389
Altitude: 969
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;21;165,8;903,949328;22,084274;8;1,646774;
2020-02-29;24;508,2;905,586457;21,291991;8,5;1,677012;
2020-03-31;14;112,2;906,351822;21,266239;9,5;1,685053;
2020-04-30;4;9,4;907,518472;20,184444;6,6;1,520556;
2020-05-31;6;38,6;908,651747;17,309946;7;1,412903;
2020-06-30;6;17,6;909,843889;18,379167;6,1;1,3375;
2020-07-31;0;0;909,497849;18,709005;5,6;1,498387;
2020-08-31;3;14,2;909,818548;18,50793;7,5;1,883064;
2020-09-30;6;41;908,040556;23,138056;7;1,852083;
2020-10-31;11;77,8;905,18871;22,528898;9,2;2,265995;
2020-11-30;13;108,4;905,129195;21,503971;10,6;1,129028;
2020-12-31;25;440,4;904,774782;21,558827;0;0;

