Nome: UBERABA
Codigo Estacao: A568
Latitude: -19.71
Longitude: -47.96194444
Altitude: 778
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;23;510,4;924,48414;23,903898;9,5;1,875403;
2020-02-29;24;330;926,021839;23,353448;8,5;2,156753;
2020-03-31;11;108;926,343177;23,544245;7,4;2,243348;
2020-04-30;6;53,2;927,987083;22,480278;6,5;1,980139;
2020-05-31;1;10;929,579435;18,646505;6,1;2,166398;
2020-06-30;0;0;930,2025;20,035833;7,4;2,624583;
2020-07-31;0;0;929,936425;20,089113;null;null;
2020-08-31;0;0;929,72379;21,061425;null;null;
2020-09-30;null;0;927,828377;25,253017;null;null;
2020-10-31;3;8,4;925,049951;25,563172;8,4;2,637818;
2020-11-30;null;null;925,402991;24,000649;9,3;2,482543;
2020-12-31;23;null;925,156519;23,437725;7,9;2,209727;

