Nome: OLIVEIRA
Codigo Estacao: A570
Latitude: -20.715
Longitude: -44.86444444
Altitude: 1025
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;325,4;900,070968;22,244893;7,7;2,346046;
2020-02-29;22;410,8;901,847701;21,659339;6,3;null;
2020-03-31;11;87;902,30578;20,893011;8,8;2,611641;
2020-04-30;9;26,2;903,541806;20,060417;6,2;2,656575;
2020-05-31;6;32,2;904,712231;17,238306;null;null;
2020-06-30;1;,2;905,932639;18,314583;null;null;
2020-07-31;0;0;905,6125;18,529436;null;null;
2020-08-31;2;14,8;905,813844;18,111828;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;5;null;null;null;null;null;
2020-11-30;17;148,2;901,251111;21,347361;null;null;
2020-12-31;21;277,4;900,86922;21,919355;6,8;2,304545;

