Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;17;380,8;931,43989;25,047674;7,8;1,992596;
2020-02-29;24;314;933,066954;24,371264;null;null;
2020-03-31;18;223;933,118548;23,799462;7,5;1,994892;
2020-04-30;15;55,2;934,633889;23,416528;6,1;1,778611;
2020-05-31;7;72;936,268952;20,690726;6,1;1,642876;
2020-06-30;0;0;937,151667;20,858889;8,2;1,7225;
2020-07-31;0;0;936,886606;21,204067;6,6;2,00059;
2020-08-31;0;0;936,622312;21,846909;7,4;2,256048;
2020-09-30;null;null;null;24,975968;6,3;null;
2020-10-31;null;null;null;null;8,3;null;
2020-11-30;null;null;null;null;6,2;null;
2020-12-31;13;null;931,892529;24,569543;6;1,899094;

