Nome: RIO DE JANEIRO-MARAMBAIA
Codigo Estacao: A602
Latitude: -23.05027777
Longitude: -43.59555555
Altitude: 12
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;64,4;1009,560081;26,016129;9,5;3,321248;
2020-02-29;17;187,4;1011,618247;25,240661;null;null;
2020-03-31;12;178,2;1013,68871;24,096774;10,9;3,428898;
2020-04-30;7;27,2;1015,350278;22,86625;7,9;2,806944;
2020-05-31;13;87,2;1016,202688;21,437769;15,4;3,472667;
2020-06-30;6;15,4;1016,929445;22,664306;null;null;
2020-07-31;7;75,4;1017,317473;21,937769;null;null;
2020-08-31;14;45,8;1018,650672;20,962769;null;null;
2020-09-30;11;141,8;1015,288056;23,853889;null;null;
2020-10-31;11;85,2;1012,584946;23,470565;null;null;
2020-11-30;15;null;1013,640317;null;null;null;
2020-12-31;20;155,2;1010,593782;25,284251;10,5;null;

