Nome: DUQUE DE CAXIAS - XEREM
Codigo Estacao: A603
Latitude: -22.58972221
Longitude: -43.28222221
Altitude: 22
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;18;403;1008,45672;25,667339;5;,685887;
2020-02-29;24;389,2;1010,519828;25,165086;5,1;,754167;
2020-03-31;13;243,8;1012,538038;23,997043;3,3;,593817;
2020-04-30;14;52,2;1014,272639;22,435;3,6;,605139;
2020-05-31;18;101,2;1015,223253;20,184677;4,6;,621774;
2020-06-30;10;28;1015,987083;21,099861;3,8;,532361;
2020-07-31;10;55,4;1016,362366;20,588844;4,2;,710349;
2020-08-31;10;111;1017,591667;20,481989;4,9;,814247;
2020-09-30;6;108,4;1014,13;23,840417;5;,79;
2020-10-31;17;124,8;1011,401613;23,80578;3,4;,744489;
2020-11-30;20;307,6;1011,70375;23,234444;5,4;,681667;
2020-12-31;23;559,4;1009,47043;25,249462;9,7;,611425;

