Nome: CAMBUCI
Codigo Estacao: A604
Latitude: -21.58749999
Longitude: -41.95833333
Altitude: 46
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;234,8;1005,371909;26,490726;6,9;1,134632;
2020-02-29;16;249,8;1007,608621;26,198563;5,9;1,119397;
2020-03-31;13;77,8;1009,077419;24,985887;3,3;1,157796;
2020-04-30;10;95,4;1010,810695;23,136806;4,1;,901528;
2020-05-31;11;88,8;1012,312769;20,284543;4,4;,854167;
2020-06-30;4;1,2;1013,517639;20,442778;3,2;,834583;
2020-07-31;3;2,8;1013,650134;20,771774;4;1,020027;
2020-08-31;4;null;1014,705382;21,02309;4,4;1,097049;
2020-09-30;null;null;null;null;4,3;null;
2020-10-31;null;null;null;null;4,3;null;
2020-11-30;null;null;null;null;3,9;null;
2020-12-31;null;null;null;null;3,8;null;

