Nome: ARRAIAL DO CABO
Codigo Estacao: A606
Latitude: -22.97527777
Longitude: -42.02138888
Altitude: 5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;118,2;1010,793952;25,740188;11,5;3,583736;
2020-02-29;13;214,2;1013,005316;25,123563;11,5;4,446695;
2020-03-31;11;209,4;1014,821102;25,096102;9,8;3,627957;
2020-04-30;9;38,2;1016,460833;24,088194;11,2;3,519583;
2020-05-31;10;null;1017,618144;22,635152;9,9;4,257481;
2020-06-30;12;7;1018,506564;22,886485;12,5;4,584662;
2020-07-31;6;21;1018,980914;22,319758;10,6;5,063172;
2020-08-31;11;63,6;1020,131452;21,788441;11,9;5,128629;
2020-09-30;7;141,6;1016,905833;23,311111;12,7;5,835278;
2020-10-31;16;68,6;1014,090054;23,523925;13,7;5,667204;
2020-11-30;14;99,4;1014,230417;23,66625;11,5;4,548194;
2020-12-31;11;108,8;1011,965323;24,48172;9,7;4,228261;

