Nome: CAMPOS DOS GOYTACAZES
Codigo Estacao: A607
Latitude: -21.71472222
Longitude: -41.34388888
Altitude: 17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;167;1008,644624;26,176075;9,1;2,74879;
2020-02-29;12;135,2;1010,972126;26,013362;7,8;2,851868;
2020-03-31;16;148,6;1012,479032;24,801344;8,7;2,286156;
2020-04-30;13;79,2;1014,225972;23,51375;6,7;2,340694;
2020-05-31;11;75,4;1015,512097;21,62836;7,6;2,50914;
2020-06-30;13;10,2;1016,698194;21,926944;6;2,544583;
2020-07-31;13;28,8;1017,165995;21,403091;8,6;2,692876;
2020-08-31;10;32;1018,005376;21,3375;7,6;3,065457;
2020-09-30;9;64;1014,915;23,68875;7,6;3,220556;
2020-10-31;15;152,6;1011,794086;23,936828;10,4;3,252957;
2020-11-30;19;195,4;1011,927361;23,994444;8,9;2,872778;
2020-12-31;14;202;1009,846102;25,679032;7,6;3,019624;

