Nome: RESENDE
Codigo Estacao: A609
Latitude: -22.45138888
Longitude: -44.44499999
Altitude: 438.83
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;186,8;961,53414;24,286828;8,3;1,815591;
2020-02-29;23;318,4;963,461782;23,259052;7,4;1,726006;
2020-03-31;17;266,2;964,986021;22,844624;6;1,865323;
2020-04-30;5;20,2;966,432222;21,40125;8,5;1,643611;
2020-05-31;10;43,6;967,359812;18,520833;8,5;1,653495;
2020-06-30;9;13;968,412361;19,112083;10,3;1,479306;
2020-07-31;3;4,8;968,457393;19,025672;10,1;1,693683;
2020-08-31;4;19,4;969,39879;19,092204;7;1,939651;
2020-09-30;4;54,6;966,510694;23,476389;6,5;2,010278;
2020-10-31;11;63;963,761559;23,249193;8,6;2,169355;
2020-11-30;18;188,6;963,8975;22,382361;9,8;2,17625;
2020-12-31;25;561,2;962,513172;23,473925;9,3;1,795027;

