Nome: SANTA TERESA
Codigo Estacao: A613
Latitude: -19.988388
Longitude: -40.579572
Altitude: 975.92
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;272;904,015323;20,762903;6,6;2,516801;
2020-02-29;18;183,8;905,868678;20,958046;9,1;1,885489;
2020-03-31;25;228,4;906,116667;19,118817;6,8;1,874328;
2020-04-30;19;44,8;907,385278;17,940833;8,6;2,195139;
2020-05-31;18;112,4;908,389382;16,593011;8,5;2,328764;
2020-06-30;8;107,8;909,810139;17,157917;8;2,278194;
2020-07-31;21;118;909,827151;16,204704;7;2,053629;
2020-08-31;22;100,8;910,116936;15,392742;7,7;2,33871;
2020-09-30;14;30,4;908,756806;18,331806;7,7;2,221111;
2020-10-31;21;262,4;905,664785;18,79879;7;2,358737;
2020-11-30;24;145,6;905,606389;18,315278;6,2;1,998472;
2020-12-31;15;167,2;905,069624;20,22957;5;1,641263;

