Nome: LINHARES
Codigo Estacao: A614
Latitude: -19.35694444
Longitude: -40.0686111
Altitude: 40
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;227;1007,773416;26,290229;9,1;3,542595;
2020-02-29;13;113,6;1009,447558;26,77773;11,6;2,936782;
2020-03-31;17;84,8;1010,014113;25,223656;7,3;2,995161;
2020-04-30;10;22,2;1011,770972;24,568889;10,9;3,365833;
2020-05-31;9;46,6;1013,607124;22,863306;8,7;2,820968;
2020-06-30;11;36,4;1015,154722;22,655139;7,4;2,533056;
2020-07-31;11;75,8;1015,517742;21,864516;8,7;2,602957;
2020-08-31;15;53,2;1016,074328;21,605645;8,4;3,171102;
2020-09-30;5;31,8;1014,029861;23,745278;7,9;2,992361;
2020-10-31;16;155;1010,142742;24,410618;8,8;3,330108;
2020-11-30;18;75,8;1010,101944;24,557222;8,8;3,234722;
2020-12-31;6;36;1009,084946;26,580242;7,6;3,452016;

