Nome: TERESOPOLIS-PARQUE NACIONAL
Codigo Estacao: A618
Latitude: -22.4486111
Longitude: -42.98694444
Altitude: 981
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;26;369,6;904,614382;20,243414;4,1;,415726;
2020-02-29;24;590,8;906,333908;20,41796;3,4;,743966;
2020-03-31;23;299,2;907,453828;18,482989;2,2;,363266;
2020-04-30;15;110,2;908,553611;17,142778;2,9;,430278;
2020-05-31;12;108,8;909,084946;15,644624;3,7;,872984;
2020-06-30;8;63,8;910,452639;16,624722;3,9;,774167;
2020-07-31;8;74,4;910,388418;16,059064;6;,847651;
2020-08-31;11;195,8;911,10672;15,601613;3,3;,933602;
2020-09-30;10;139,4;909,226111;19,200556;3;,795;
2020-10-31;17;275,2;906,543145;18,874597;3,9;,820699;
2020-11-30;22;423,4;906,367361;18,073194;2,5;,432222;
2020-12-31;27;506,2;905,439247;20,23871;2,4;,423925;

