Nome: PARATY
Codigo Estacao: A619
Latitude: -23.2236111
Longitude: -44.72694443
Altitude: 3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;190,8;1010,769355;25,390054;4,5;1,547984;
2020-02-29;22;257;1012,816379;24,835776;5,6;1,380747;
2020-03-31;17;216;1014,966094;23,996996;3,9;1,618957;
2020-04-30;7;8,8;1016,57875;22,499583;5,7;1,554028;
2020-05-31;null;null;1017,370109;20,279319;5,3;1,633228;
2020-06-30;null;null;1018,015278;21,018194;7,2;1,363333;
2020-07-31;null;null;1018,442572;20,349527;6,1;1,411857;
2020-08-31;null;null;1019,866556;19,962874;7;1,637173;
2020-09-30;4;71,4;1016,493907;23,194547;4,9;1,514535;
2020-10-31;14;117;1013,805078;23,367146;8,3;1,678179;
2020-11-30;21;161,8;1014,204155;22,834541;6,1;1,483406;
2020-12-31;21;null;1011,720723;24,930096;3,7;1,374772;

