Nome: CAMPOS DOS GOYTACAZES - SAO TOME
Codigo Estacao: A620
Latitude: -22.04166666
Longitude: -41.05166666
Altitude: 7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;104,6;1010,525403;25,84543;9,1;3,853226;
2020-02-29;10;151,2;1012,840374;25,893391;8,9;3,637931;
2020-03-31;13;112,4;1014,303763;25,197043;10,2;2,843952;
2020-04-30;15;78,6;1016,005278;24,211528;7,1;2,915278;
2020-05-31;10;55;1017,256183;22,619892;9,7;3,068011;
2020-06-30;8;3,6;1018,518056;22,838611;7,2;3,122361;
2020-07-31;5;14;1018,998387;22,361022;7,2;3,41586;
2020-08-31;9;44,6;1019,878495;22,035081;9,7;4,22621;
2020-09-30;5;106,8;1016,878194;23,554167;9,9;4,680556;
2020-10-31;14;161;1013,704973;23,815591;10,2;4,222984;
2020-11-30;14;null;1013,612943;24,183552;8,2;3,75993;
2020-12-31;null;null;null;null;9,5;null;

