Nome: PRESIDENTE KENNEDY
Codigo Estacao: A622
Latitude: -21.10083333
Longitude: -41.03944444
Altitude: 69.12
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;166,6;1002,19207;25,779301;9;2,928226;
2020-02-29;12;147,4;1004,39842;25,801868;11,5;3,462069;
2020-03-31;6;null;null;null;9,6;null;
2020-04-30;null;null;null;null;7,8;null;
2020-05-31;null;null;null;null;6,4;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;8;null;1007,707253;23,398766;12,2;4,001235;
2020-10-31;19;104,8;1005,141532;23,485753;10,2;3,464516;
2020-11-30;14;63,4;1005,213194;23,7725;11,2;3,493333;
2020-12-31;10;130,8;1003,220699;25,555511;12;3,935081;

