Nome: NITEROI
Codigo Estacao: A627
Latitude: -22.86749999
Longitude: -43.10194444
Altitude: 6
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;149,2;1010,681183;27,341263;4,9;1,438844;
2020-02-29;21;302,4;1012,725718;26,546264;4,7;1,313937;
2020-03-31;10;159,8;1014,813172;25,397177;5;1,345296;
2020-04-30;9;27,6;1016,506805;24,213889;5,1;1,250417;
2020-05-31;12;106,4;1017,449597;22,04879;5,6;1,184077;
2020-06-30;2;3,4;1018,261806;22,99875;5,5;1,066806;
2020-07-31;5;36,2;1018,617678;22,55949;5,1;1,230873;
2020-08-31;6;96,6;1019,847429;22,189475;5,1;1,364621;
2020-09-30;7;104,2;1016,430435;25,150193;5,9;1,39;
2020-10-31;13;58,6;1013,689516;25,102688;5,9;1,642608;
2020-11-30;18;121,6;1013,987947;24,463955;5,2;1,455;
2020-12-31;17;332,2;1011,718952;26,663575;5,3;1,342339;

