Nome: VENDA NOVA DO IMIGRANTE
Codigo Estacao: A633
Latitude: -20.38555555
Longitude: -41.18999999
Altitude: 722
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;376,2;931,831183;22,675806;4;1,181183;
2020-02-29;18;242,4;933,740517;22,640517;3,6;1,04023;
2020-03-31;23;195,8;934,456976;20,796371;3,1;,852971;
2020-04-30;15;null;null;20,407031;4;null;
2020-05-31;null;null;null;null;4,1;null;
2020-06-30;null;null;null;null;3,5;null;
2020-07-31;null;null;null;null;4,2;null;
2020-08-31;null;null;null;null;4,4;null;
2020-09-30;4;27;936,697701;20,064512;4,4;1,14181;
2020-10-31;19;179,6;933,826747;20,817742;4,4;1,043548;
2020-11-30;18;128,8;933,763539;20,452826;4;1,062337;
2020-12-31;18;260,8;932,791225;22,368311;4,4;1,225624;

