Nome: VILA VELHA
Codigo Estacao: A634
Latitude: -20.46694443
Longitude: -40.40388888
Altitude: 25
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;1;null;null;null;7,1;null;
2020-02-29;11;117,6;1009,511251;26,260695;7,5;2,87956;
2020-03-31;15;299,6;1010,532564;24,802687;6,4;2,309238;
2020-04-30;11;25,8;1012,299167;23,952778;6,2;2,456944;
2020-05-31;9;46,8;1013,838844;22,075538;8,3;2,54328;
2020-06-30;10;77,2;1015,288611;21,91625;6,9;2,349722;
2020-07-31;13;63,8;1015,702285;21,352823;7,3;2,439113;
2020-08-31;10;101,6;1016,414247;21,542204;8,4;3,326075;
2020-09-30;4;120,2;1013,744028;23,605556;9;3,888056;
2020-10-31;18;159,4;1010,254435;23,813575;8,5;3,167608;
2020-11-30;15;85;1010,272868;24,105175;8,5;2,817591;
2020-12-31;8;143;1008,837036;25,736689;9,4;3,94001;

