Nome: SAO PAULO - MIRANTE
Codigo Estacao: A701
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.64
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;17;279,4;923,812769;22,912769;5,5;2,005511;
2020-02-29;23;493,8;925,563362;21,76954;5,9;1,858908;
2020-03-31;14;69,4;926,898253;21,44543;4,5;2,072715;
2020-04-30;3;7,4;928,107917;20,094167;6;1,898472;
2020-05-31;8;11;928,71371;17,714785;6;1,825134;
2020-06-30;11;152,4;929,524722;19,252361;6,7;1,650833;
2020-07-31;4;12,6;929,517608;18,457527;7;1,842876;
2020-08-31;11;66,2;930,384648;17,554979;4,6;1,66818;
2020-09-30;5;14,6;928,207083;21,898472;5,8;1,745972;
2020-10-31;12;210,2;925,649194;21,549731;7,2;1,992473;
2020-11-30;15;135,4;925,818611;20,58125;7,6;1,872361;
2020-12-31;22;273,2;924,542204;22,527823;7,1;1,418952;

