Nome: PONTA PORA
Codigo Estacao: A703
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;204,8;935,374059;25,07379;null;null;
2020-02-29;16;150,4;936,785201;24,718965;null;null;
2020-03-31;8;98,4;937,84086;25,352957;null;null;
2020-04-30;4;99;940,108333;21,441806;null;null;
2020-05-31;8;124,6;940,895296;18,134946;null;null;
2020-06-30;11;92,2;939,570575;19,01821;null;null;
2020-07-31;6;14,2;940,311962;18,028898;null;null;
2020-08-31;3;null;940,190705;20,639263;null;null;
2020-09-30;4;19,4;938,23625;23,910417;null;null;
2020-10-31;12;184,4;936,375134;24,836694;null;null;
2020-11-30;10;33,8;936,851528;24,339305;null;null;
2020-12-31;null;null;935,596774;24,840054;null;null;

