Nome: BAURU
Codigo Estacao: A705
Latitude: -22.358052
Longitude: -49.028877
Altitude: 636.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;181,4;940,147849;24,17043;4,9;1,130914;
2020-02-29;20;325,8;941,739511;22,951581;3,9;1,099282;
2020-03-31;4;11,8;942,842608;23,264382;4;1,164247;
2020-04-30;4;18,2;944,371806;21,456945;4,7;1,033611;
2020-05-31;4;28,4;945,659409;18,452285;3,4;,524059;
2020-06-30;6;68,2;946,066667;19,996667;6;1,140972;
2020-07-31;3;8,8;945,892339;19,663441;4,3;1,17957;
2020-08-31;5;60;946,364919;19,436828;4,6;1,342204;
2020-09-30;1;6,2;943,800972;24,67875;6,2;1,47;
2020-10-31;11;35,4;941,254167;24,741936;7,4;1,753629;
2020-11-30;8;57,4;941,608889;24,021389;7,6;1,551944;
2020-12-31;19;366,8;940,823522;23,81586;6,8;1,132393;

