Nome: PRESIDENTE PRUDENTE
Codigo Estacao: A707
Latitude: -22.11999999
Longitude: -51.40861111
Altitude: 431.92
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;17;347,2;960,802554;25,989113;6,3;1,360349;
2020-02-29;15;202,6;962,331897;25,126293;3,9;1,293822;
2020-03-31;7;46,4;963,549351;25,573948;4,1;1,390924;
2020-04-30;3;60,6;965,485417;23,385417;4,3;1,215695;
2020-05-31;4;72;966,985215;20,262366;5,2;1,126075;
2020-06-30;10;129;966,752083;21,442639;6,1;1,174306;
2020-07-31;2;5,2;966,830604;21,148831;5,5;1,312874;
2020-08-31;7;153,4;967,101613;21,259543;4,9;1,488441;
2020-09-30;1;6,4;964,039167;27,014583;4,9;1,563333;
2020-10-31;6;40,6;961,762903;26,69664;6,6;1,948387;
2020-11-30;4;47;962,266528;26,375417;5,7;1,688611;
2020-12-31;11;262,8;961,375806;25,675941;5,1;1,459543;

