Nome: FRANCA
Codigo Estacao: A708
Latitude: -20.58444444
Longitude: -47.38249999
Altitude: 1002.74
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;417;901,460887;22,959946;6,8;1,677285;
2020-02-29;27;342;902,965086;22,038075;6,2;1,92069;
2020-03-31;14;94,2;903,474866;22,237366;7,4;1,655376;
2020-04-30;3;25,6;904,896667;21,520972;6,1;1,380417;
2020-05-31;4;33;906,122675;18,493045;4,6;1,323112;
2020-06-30;null;null;906,995139;20,060139;6,6;2,01875;
2020-07-31;null;null;906,695027;20,388172;5,9;1,918011;
2020-08-31;1;5,6;906,639463;20,516859;6,8;2,353448;
2020-09-30;1;1;905,045417;25,180972;5,9;2,371944;
2020-10-31;14;125,2;902,306855;24,308199;5,8;2,160753;
2020-11-30;14;106,4;902,436667;22,991528;6,9;1,998055;
2020-12-31;26;275,6;902,23293;22,218817;5,5;1,695968;

