Nome: IVINHEMA
Codigo Estacao: A709
Latitude: -22.30055555
Longitude: -53.82277777
Altitude: 377.36
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;165,4;966,504436;26,917876;7,8;2,317204;
2020-02-29;12;217,4;968,016211;26,284358;8,7;2,137544;
2020-03-31;6;42,6;969,210349;26,765726;5,3;2,140188;
2020-04-30;1;null;null;null;10,7;null;
2020-05-31;null;null;null;null;6,9;null;
2020-06-30;null;null;null;null;9,5;null;
2020-07-31;3;null;972,145005;20,837327;7;2,278382;
2020-08-31;null;null;null;null;7,6;null;
2020-09-30;null;null;969,044064;27,627216;11,1;2,510015;
2020-10-31;7;null;967,299676;26,738853;9,4;2,508732;
2020-11-30;null;null;null;null;7,7;null;
2020-12-31;null;null;null;null;10,8;null;

