Nome: SAO CARLOS
Codigo Estacao: A711
Latitude: -21.980353
Longitude: -47.883927
Altitude: 859.29
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;17;317;917,111828;23,066398;5,8;1,408871;
2020-02-29;21;438;918,750719;22,046408;5,3;1,457471;
2020-03-31;8;94,8;919,548521;22,363306;5,2;1,610484;
2020-04-30;3;6,8;921,177361;20,694583;4,7;1,2975;
2020-05-31;3;28,6;922,806586;17,407392;4,4;1,313038;
2020-06-30;10;29,2;923,425139;18,951389;5,5;1,346944;
2020-07-31;3;1,8;923,145565;18,968011;4,7;1,399462;
2020-08-31;3;19;923,444086;19,235887;5,9;1,815457;
2020-09-30;3;29,2;920,879583;24,034861;5,3;1,5825;
2020-10-31;12;74,2;918,335887;23,683871;6,8;1,882796;
2020-11-30;9;133,8;918,770465;22,595676;5,9;1,753484;
2020-12-31;23;252,8;918,124328;22,7375;5,4;1,246505;

