Nome: IGUAPE
Codigo Estacao: A712
Latitude: -24.67166666
Longitude: -47.54583333
Altitude: 2.7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;153,8;1010,518952;25,252957;6,7;1,606913;
2020-02-29;19;540,4;1012,912931;24,388649;4,9;1,517098;
2020-03-31;14;305;1014,90121;23,375403;5,7;1,452823;
2020-04-30;10;54,2;1016,435694;21,265556;4,3;1,119378;
2020-05-31;5;58,2;1017,084274;18,66371;5,4;1,089113;
2020-06-30;14;354,2;1017,43;19,808333;5,7;1,167615;
2020-07-31;9;133,2;1018,243952;18,475134;5,7;1,219203;
2020-08-31;19;173,4;1019,826075;17,852016;5;1,247914;
2020-09-30;15;107,8;1016,930139;20,531944;5,2;1,53125;
2020-10-31;17;244,2;1013,951344;22,263038;5,5;1,774597;
2020-11-30;15;174;1014,185278;22,118056;4,9;1,604444;
2020-12-31;24;256,4;1011,512634;24,512366;5;1,603629;

