Nome: SOROCABA
Codigo Estacao: A713
Latitude: -23.4261111
Longitude: -47.58555555
Altitude: 609.33
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;184,4;943,531183;23,26707;8,1;2,012366;
2020-02-29;16;264;945,280029;22,607471;7,6;2,162069;
2020-03-31;10;82,6;946,59328;21,872446;9,8;2,251747;
2020-04-30;10;17,4;947,970556;19,851806;5,8;1,963333;
2020-05-31;6;null;null;16,879651;5,8;null;
2020-06-30;4;null;null;19,215246;7,8;null;
2020-07-31;5;null;948,835536;18,115942;7,2;1,49206;
2020-08-31;1;null;null;null;7,5;null;
2020-09-30;1;null;947,545922;23,082503;8,6;2,442951;
2020-10-31;11;42,2;945,087351;23,080471;8,6;2,762084;
2020-11-30;16;69,4;945,434306;21,638889;8,1;2,645695;
2020-12-31;12;null;944,225755;23,249555;7,6;2,223113;

