Nome: ITAPEVA
Codigo Estacao: A714
Latitude: -23.98194443
Longitude: -48.88583333
Altitude: 743.33
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;95,4;928,667608;22,823253;7,9;1,654973;
2020-02-29;13;151,6;930,40819;21,835201;7,1;1,451293;
2020-03-31;1;null;null;20,439379;8,4;null;
2020-04-30;null;null;null;null;6;null;
2020-05-31;null;null;null;null;5,8;null;
2020-06-30;15;140;934,070904;17,945817;9,5;,959219;
2020-07-31;6;52,2;934,187634;16,884409;7,3;1,010081;
2020-08-31;21;77,4;935,075403;16,57164;6,7;1,470027;
2020-09-30;7;13;932,752639;21,118194;9;2,507778;
2020-10-31;10;60,8;930,354839;21,425269;8,9;2,5875;
2020-11-30;6;74,2;930,583195;20,878889;8,9;2,416806;
2020-12-31;17;133,6;929,326479;22,196102;9,8;2,395565;

