Nome: SAO MIGUEL ARCANJO
Codigo Estacao: A715
Latitude: -23.85194444
Longitude: -48.16472222
Altitude: 675.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;162,4;936,548253;22,396237;6,9;1,81371;
2020-02-29;26;161,2;938,354598;21,607759;6,1;2,07931;
2020-03-31;22;40,2;939,81828;20,924059;7,3;2,093145;
2020-04-30;18;15,8;941,029306;19,01625;6;1,709861;
2020-05-31;16;18;941,736694;16,079167;7,4;1,822849;
2020-06-30;25;123,6;942,311667;17,861389;9,9;2,128333;
2020-07-31;7;19;942,302823;16,758871;9,6;2,146102;
2020-08-31;12;83,2;943,263844;16,31365;8,6;2,123521;
2020-09-30;23;21;940,896667;20,311528;8,4;2,587917;
2020-10-31;19;74,4;938,424597;20,717204;7,4;2,661694;
2020-11-30;15;70,4;938,667917;20,373472;6,7;2,43125;
2020-12-31;25;265,6;937,280511;21,901882;6,9;1,978629;

