Nome: OURINHOS
Codigo Estacao: A716
Latitude: -22.94888888
Longitude: -49.89444444
Altitude: 443.49
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;102,4;968,233064;24,981452;4,5;,868952;
2020-02-29;17;257,6;969,864368;24,066379;3,9;,769684;
2020-03-31;8;40;971,19328;24,07957;5,2;1,056989;
2020-04-30;4;26,4;972,8275;21,75;5,5;,85125;
2020-05-31;6;57,6;974,218548;18,142876;4,2;,670968;
2020-06-30;10;78,6;974,312361;19,507222;4,5;,601111;
2020-07-31;3;2,8;974,313172;18,567473;4,5;,79086;
2020-08-31;5;null;null;19,57807;5,8;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

