Nome: COXIM
Codigo Estacao: A720
Latitude: -18.51222222
Longitude: -54.7361111
Altitude: 251.48
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;122,4;980,834537;27,132404;7,6;1,042292;
2020-02-29;null;null;982,069774;26,506941;7,6;,865849;
2020-03-31;10;10,4;982,28332;26,464494;5,3;,734167;
2020-04-30;null;null;984,670833;25,144583;6,2;,717778;
2020-05-31;null;null;986,798118;20,417607;4,7;,565726;
2020-06-30;null;null;985,947917;22,199444;5,8;,780694;
2020-07-31;null;0;985,889919;22,001613;4,6;,803763;
2020-08-31;2;6,2;985,07836;24,181452;7,1;1,004167;
2020-09-30;0;0;982,524982;28,957295;5,6;1,074668;
2020-10-31;null;null;980,667866;29,344372;8,3;1,106298;
2020-11-30;null;null;981,361364;27,775822;6;1,081603;
2020-12-31;null;null;980,972262;27,277669;7;1,111322;

