Nome: PIRACICABA
Codigo Estacao: A726
Latitude: -22.70305555
Longitude: -47.62333332
Altitude: 566.46
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;164,2;947,640995;24,128091;8,6;1,637634;
2020-02-29;18;375,2;949,386638;23,175287;7,5;1,138362;
2020-03-31;8;65,6;950,522312;23,087769;7,7;1,604704;
2020-04-30;2;null;null;21,219318;6,2;null;
2020-05-31;null;null;null;null;6,6;null;
2020-06-30;null;null;null;null;6,9;null;
2020-07-31;null;null;null;null;7,3;null;
2020-08-31;null;null;null;null;7;null;
2020-09-30;null;null;null;null;7,6;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

