Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;238,8;958,892742;26,016263;4,5;1,511828;
2020-02-29;16;280;960,463649;24,944109;4,5;1,529741;
2020-03-31;6;33,6;961,525947;25,154991;5,2;1,999299;
2020-04-30;3;32,2;963,321528;23,295695;6,8;1,584167;
2020-05-31;2;24,4;964,932796;19,906452;4,4;1,095564;
2020-06-30;8;43,2;965,068472;21,214306;5,9;1,086806;
2020-07-31;1;1;964,93172;21,093683;4,6;1,094086;
2020-08-31;3;23;965,194355;21,57164;6,2;1,843548;
2020-09-30;2;3,4;962,295833;26,693195;5,5;1,519861;
2020-10-31;15;10;959,749731;26,841801;7,3;2,009677;
2020-11-30;null;null;960,281528;26,200972;5,4;2,12125;
2020-12-31;null;null;959,549865;25,609409;6,2;1,501344;

