Nome: VOTUPORANGA
Codigo Estacao: A729
Latitude: -20.40333333
Longitude: -49.96611111
Altitude: 510.37
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;273,6;957,231855;26,00914;5,6;1,010887;
2020-02-29;24;300,4;958,773851;25,228448;5,6;1,006035;
2020-03-31;4;60,2;959,474866;25,442473;4,4;,938575;
2020-04-30;4;34,2;961,384444;23,967222;4,8;,858333;
2020-05-31;3;17,6;963,163978;20,072043;5,4;1,062231;
2020-06-30;2;10;963,274444;21,777083;6,8;1,038472;
2020-07-31;1;,4;963,121909;21,687769;5,7;1,038844;
2020-08-31;1;4,2;963,000672;22,736156;5,9;1,627554;
2020-09-30;2;1,2;960,325139;27,464167;6,3;1,429444;
2020-10-31;10;87;957,751344;27,513038;7,1;1,545027;
2020-11-30;6;117;958,435833;26,48375;10,4;1,586389;
2020-12-31;28;69,6;957,893414;25,617876;6,6;1,184005;

