Nome: SAO GABRIEL DO OESTE
Codigo Estacao: A732
Latitude: -19.42027777
Longitude: -54.55305555
Altitude: 646
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;null;24,729167;6,9;null;
2020-02-29;24;32,4;938,923851;24,322845;6,7;1,761925;
2020-03-31;6;33,4;939,438441;24,874059;6,2;1,718145;
2020-04-30;null;null;941,505506;22,878125;7,6;1,676935;
2020-05-31;null;null;943,034543;18,869086;7,8;1,449597;
2020-06-30;null;null;942,645192;21,007372;7;1,644071;
2020-07-31;null;null;942,527232;20,840923;6,4;1,680655;
2020-08-31;null;null;941,988979;22,504301;9,5;2,052823;
2020-09-30;null;null;940,013889;26,745694;9,1;1,858056;
2020-10-31;null;null;937,995417;26,66875;10,3;2,200972;
2020-11-30;null;null;938,586458;25,345387;9,6;2,045387;
2020-12-31;null;null;null;24,503431;9;null;

