Nome: JALES
Codigo Estacao: A733
Latitude: -20.165
Longitude: -50.59499999
Altitude: 460.44
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;17;148;958,670833;25,853091;9,9;2,12836;
2020-02-29;18;222,2;960,149282;24,946264;7,5;2,254167;
2020-03-31;6;51;960,842362;25,255563;6,3;2,312827;
2020-04-30;2;45;962,805556;24,2425;7,8;2,376528;
2020-05-31;2;20,2;964,579704;20,906317;8,5;2,380242;
2020-06-30;2;13,4;964,546667;22,349583;7,6;2,817917;
2020-07-31;1;null;null;null;7,9;null;
2020-08-31;null;null;null;null;7,9;null;
2020-09-30;null;null;null;null;7,6;null;
2020-10-31;null;null;null;null;9,4;null;
2020-11-30;null;null;null;null;10,3;null;
2020-12-31;null;null;null;null;7,8;null;

