Nome: VALPARAISO
Codigo Estacao: A734
Latitude: -21.31916666
Longitude: -50.93027777
Altitude: 381.9
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;254,4;966,846774;26,223656;7,4;1,258064;
2020-02-29;16;203;968,394828;25,267816;7;1,456035;
2020-03-31;5;87;969,435215;25,266129;5,4;1,727957;
2020-04-30;6;73,6;971,455417;22,981806;6,6;1,433889;
2020-05-31;5;32,2;973,137769;19,453091;6,3;1,332661;
2020-06-30;8;68;972,948194;21,283194;7;1,789583;
2020-07-31;1;,8;972,917608;20,979167;6,9;1,891263;
2020-08-31;5;9,8;973,028091;21,756855;7,1;2,824462;
2020-09-30;null;null;null;null;7,6;null;
2020-10-31;null;null;null;null;7,2;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;20;null;967,400926;26,115741;7,4;1,992593;

