Nome: ARIRANHA
Codigo Estacao: A736
Latitude: -21.13305554
Longitude: -48.84055555
Altitude: 525.44
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;null;null;null;null;
2020-02-29;null;null;null;null;null;null;
2020-03-31;4;null;953,396792;24,004339;6,3;1,242106;
2020-04-30;null;null;null;null;5,7;null;
2020-05-31;null;null;null;null;5,7;null;
2020-06-30;null;null;null;null;7;null;
2020-07-31;null;null;null;null;6,2;null;
2020-08-31;null;null;null;null;7,4;null;
2020-09-30;null;null;null;null;7,4;null;
2020-10-31;null;null;null;null;7,2;null;
2020-11-30;null;null;null;null;5,9;null;
2020-12-31;null;null;null;null;6,9;null;

