Nome: IBITINGA
Codigo Estacao: A737
Latitude: -21.85555555
Longitude: -48.79972221
Altitude: 496.75
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;954,811425;24,679301;8,5;1,23172;
2020-02-29;null;null;956,453736;23,732615;4,9;,737356;
2020-03-31;10;7,8;957,444086;23,469086;5,1;1,436828;
2020-04-30;null;null;959,165556;21,482778;6,5;1,177639;
2020-05-31;null;null;960,727016;18,49879;5,2;1,145564;
2020-06-30;null;null;961,044583;20,232917;5,2;,985972;
2020-07-31;null;null;960,851613;19,988441;5,5;,959274;
2020-08-31;null;null;961,181183;19,990995;6,3;1,558199;
2020-09-30;null;null;958,343472;25,336111;6,8;1,549167;
2020-10-31;null;null;955,761021;25,530645;8,2;2,262366;
2020-11-30;null;null;956,226806;24,634583;6,7;1,734861;
2020-12-31;null;null;955,516398;24,593548;8,3;1,000672;

