Nome: SAO LUIZ DO PARAITINGA
Codigo Estacao: A740
Latitude: -23.22833332
Longitude: -45.41694443
Altitude: 862.3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;915,392473;21,349059;5,9;1,572581;
2020-02-29;null;null;917,060057;20,869253;6,3;1,522701;
2020-03-31;null;null;918,407258;19,631317;5,8;1,377151;
2020-04-30;null;null;919,51;18,291944;6;1,164722;
2020-05-31;10;6,8;920,094893;15,818414;7,5;1,199328;
2020-06-30;7;40,8;921,128194;17,329028;8,4;1,174583;
2020-07-31;5;2,2;921,046237;16,566398;6,9;1,301075;
2020-08-31;11;40,8;921,854704;16,018952;6,4;1,367339;
2020-09-30;8;31,6;919,748333;20,510972;6,6;1,55125;
2020-10-31;14;72,8;917,162231;20,091667;6,9;1,747715;
2020-11-30;7;1,8;917,244722;19,116667;7,1;1,604028;
2020-12-31;null;null;null;21,426974;6,9;null;

