Nome: BARRA BONITA
Codigo Estacao: A741
Latitude: -22.4711111
Longitude: -48.5575
Altitude: 533.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;950,749059;24,774731;8;1,562366;
2020-02-29;null;null;952,422557;23,848276;7,1;1,525862;
2020-03-31;null;null;953,591667;23,880914;6,9;2,232796;
2020-04-30;null;null;955,208194;21,771528;6,5;2,692083;
2020-05-31;null;null;956,535254;19,434722;7,2;1,64493;
2020-06-30;null;null;null;null;7,5;null;
2020-07-31;null;null;null;null;8,2;null;
2020-08-31;null;null;null;null;8,2;null;
2020-09-30;null;null;null;null;9,5;null;
2020-10-31;null;null;null;null;8,2;null;
2020-11-30;null;null;null;null;7,6;null;
2020-12-31;null;null;null;null;6,1;null;

