Nome: CASSILANDIA
Codigo Estacao: A742
Latitude: -19.12249999
Longitude: -51.72083332
Altitude: 494.72
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;null;954,955072;26,242776;8;1,535553;
2020-02-29;24;417,2;955,954991;25,279042;7,8;1,453779;
2020-03-31;8;190;956,518353;25,476848;6,6;1,404783;
2020-04-30;3;59,4;958,591667;24,128333;6,5;1,269444;
2020-05-31;4;18,6;960,343414;20,048253;5,1;1,328226;
2020-06-30;2;8;960,121944;22,082917;5,8;1,473333;
2020-07-31;0;0;960,025672;21,688038;6,2;1,513038;
2020-08-31;1;7,2;959,684946;22,603226;6,7;1,670565;
2020-09-30;3;null;null;27,113333;5,2;null;
2020-10-31;10;107,2;954,893135;27,806787;7,7;1,780208;
2020-11-30;6;null;null;26,627225;6,4;null;
2020-12-31;19;348,2;955,087948;25,748608;8,8;1,294142;

