Nome: RIO BRILHANTE
Codigo Estacao: A743
Latitude: -21.77499999
Longitude: -54.52805554
Altitude: 324.31
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;89,8;972,44664;26,454032;7,2;1,606452;
2020-02-29;29;53;973,912644;26,030316;7,4;1,419828;
2020-03-31;12;49,4;974,936092;26,186495;8,2;1,000999;
2020-04-30;4;48;977,628472;22,17625;6,8;1,063472;
2020-05-31;10;37,8;979,101882;18,839919;7,6;1,163844;
2020-06-30;7;3,8;978,073333;20,449861;9,4;1,647917;
2020-07-31;1;,2;978,554839;19,454704;9;1,48414;
2020-08-31;18;54,8;978,244892;20,989247;8,8;1,405242;
2020-09-30;5;22,8;975,329167;25,090139;10;1,224583;
2020-10-31;17;33,6;973,38078;25,914989;13,6;1,595243;
2020-11-30;12;16,4;973,946594;25,170755;6,9;1,281401;
2020-12-31;19;47,4;972,824731;26,027419;7,8;1,513844;

