Nome: BRAGANCA PAULISTA
Codigo Estacao: A744
Latitude: -22.95194444
Longitude: -46.53055554
Altitude: 891
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;18;247;913,48293;22,514382;6;1,81586;
2020-02-29;19;367,2;915,082752;21,605703;7;1,766211;
2020-03-31;10;113;916,150134;21,130078;5,9;1,903056;
2020-04-30;5;2,2;917,390417;19,685278;7;1,929306;
2020-05-31;7;14,2;918,264516;17,080242;7,3;1,693683;
2020-06-30;9;81;919,153472;18,5325;7,1;1,383194;
2020-07-31;5;7,8;918,969892;18,033065;6,4;1,699059;
2020-08-31;9;42;919,488441;17,771909;6,2;1,82379;
2020-09-30;4;22,2;917,460876;22,476703;5,6;1,925447;
2020-10-31;14;90,8;914,859175;21,93362;6,6;2,029278;
2020-11-30;10;136,8;914,957738;21,076203;6,4;2,155962;
2020-12-31;22;343,2;914,179299;22,184492;7,8;1,744088;

