Nome: PRADOPOLIS
Codigo Estacao: A747
Latitude: -21.33833333
Longitude: -48.11388888
Altitude: 540.41
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;18;243,6;950,008602;24,784005;9;2,004436;
2020-02-29;22;190,8;951,662213;23,993103;8,3;2,197557;
2020-03-31;7;121,4;952,421909;23,842876;6,2;1,922849;
2020-04-30;4;22,4;954,144583;21,7825;7,6;1,661528;
2020-05-31;3;17,8;955,827823;18,216129;6,5;1,601882;
2020-06-30;5;10;956,304861;19,7925;8,6;1,866944;
2020-07-31;1;,4;956,047581;19,35578;7,1;1,683199;
2020-08-31;1;7,4;956,175538;19,872446;9,9;2,346236;
2020-09-30;1;9;953,519861;24,449722;8,2;2,078056;
2020-10-31;null;null;950,816264;25,515323;10,9;2,813038;
2020-11-30;null;null;951,274028;24,279028;9,3;2,534444;
2020-12-31;null;null;950,798925;24,075269;9,9;2,076882;

