Nome: BARRETOS
Codigo Estacao: A748
Latitude: -20.55916666
Longitude: -48.54499999
Altitude: 534.36
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;25;262,8;950,380376;24,700269;3,5;1,05793;
2020-02-29;21;195,6;951,995546;24,130603;4,5;1,061351;
2020-03-31;12;126,2;952,606452;23,703091;3,5;1,076613;
2020-04-30;9;28,2;954,3775;22,077778;3,7;,983333;
2020-05-31;9;19,6;956,17043;18,41707;3,6;,953494;
2020-06-30;4;1,8;956,580417;20,177639;3,6;1,016528;
2020-07-31;0;0;956,325806;20,293683;3;1,023387;
2020-08-31;1;1,8;956,276344;21,099328;3,9;1,329436;
2020-09-30;4;19,6;953,743472;25,370417;3,2;1,188611;
2020-10-31;10;69,2;951,008333;26,459274;5,2;1,456989;
2020-11-30;10;68,2;951,532639;25,137778;3,8;1,355556;
2020-12-31;27;334,8;951,158275;24,401531;5,1;1,146231;

